Country,Year,Hydro (%  of energy used)
Eastern Africa,2016,27.52
Eastern Africa,2017,26.904
Eastern Africa,2018,27.13
Eastern Africa,2019,26.442
Eastern Africa,2020,30.462
Ecuador,1965,8.031
Ecuador,1966,8.737
Ecuador,1967,8.897
Ecuador,1968,7.866
Ecuador,1969,8.218
Ecuador,1970,7.653
Ecuador,1971,7.567
Ecuador,1972,7.323
Ecuador,1973,6.685
Ecuador,1974,6.583
Ecuador,1975,8.172
Ecuador,1976,7.146
Ecuador,1977,5.537
Ecuador,1978,7.514
Ecuador,1979,6.463
Ecuador,1980,6.265
Ecuador,1981,5.042
Ecuador,1982,5.273
Ecuador,1983,10.386
Ecuador,1984,17.612
Ecuador,1985,15.085
Ecuador,1986,17.637
Ecuador,1987,19.516
Ecuador,1988,17.825
Ecuador,1989,17.743
Ecuador,1990,17.296
Ecuador,1991,15.928
Ecuador,1992,15.685
Ecuador,1993,17.699
Ecuador,1994,18.395
Ecuador,1995,15.268
Ecuador,1996,16.503
Ecuador,1997,15.247
Ecuador,1998,15.102
Ecuador,1999,18.301
Ecuador,2000,20.577
Ecuador,2001,18.726
Ecuador,2002,20.078
Ecuador,2003,18.726
Ecuador,2004,17.796
Ecuador,2005,15.498
Ecuador,2006,15.086
Ecuador,2007,18.11
Ecuador,2008,21.149
Ecuador,2009,17.532
Ecuador,2010,14.671
Ecuador,2011,17.754
Ecuador,2012,18.371
Ecuador,2013,15.936
Ecuador,2014,15.654
Ecuador,2015,17.863
Ecuador,2016,21.594
Ecuador,2017,26.306
Ecuador,2018,25.476
Ecuador,2019,29.542
Ecuador,2020,34.097
Egypt,1965,5.267
Egypt,1966,5.274
Egypt,1967,6.643
Egypt,1968,9.41
Egypt,1969,15.256
Egypt,1970,14.378
Egypt,1971,15.061
Egypt,1972,13.872
Egypt,1973,14.659
Egypt,1974,15.315
Egypt,1975,15.331
Egypt,1976,15.104
Egypt,1977,15.725
Egypt,1978,16.363
Egypt,1979,14.476
Egypt,1980,12.972
Egypt,1981,11.857
Egypt,1982,10.91
Egypt,1983,9.433
Egypt,1984,8.482
Egypt,1985,7.766
Egypt,1986,7.446
Egypt,1987,7.018
Egypt,1988,6.807
Egypt,1989,6.939
Egypt,1990,7.097
Egypt,1991,6.979
Egypt,1992,6.965
Egypt,1993,7.168
Egypt,1994,7.245
Egypt,1995,7.134
Egypt,1996,6.947
Egypt,1997,6.835
Egypt,1998,6.75
Egypt,1999,6.985
Egypt,2000,6.958
Egypt,2001,6.734
Egypt,2002,6.335
Egypt,2003,5.471
Egypt,2004,5.328
Egypt,2005,4.867
Egypt,2006,4.684
Egypt,2007,4.879
Egypt,2008,4.878
Egypt,2009,4.215
Egypt,2010,3.751
Egypt,2011,3.669
Egypt,2012,3.481
Egypt,2013,3.538
Egypt,2014,3.617
Egypt,2015,3.543
Egypt,2016,3.234
Egypt,2017,3.03
Egypt,2018,2.975
Egypt,2019,3.05
Egypt,2020,3.2
Estonia,1985,0
Estonia,1986,0
Estonia,1987,0
Estonia,1988,0
Estonia,1989,0
Estonia,1990,0
Estonia,1991,0
Estonia,1992,0
Estonia,1993,0
Estonia,1994,0
Estonia,1995,0
Estonia,1996,0
Estonia,1997,0
Estonia,1998,0
Estonia,1999,0.021
Estonia,2000,0.026
Estonia,2001,0.034
Estonia,2002,0.029
Estonia,2003,0.058
Estonia,2004,0.094
Estonia,2005,0.095
Estonia,2006,0.061
Estonia,2007,0.084
Estonia,2008,0.111
Estonia,2009,0.142
Estonia,2010,0.099
Estonia,2011,0.106
Estonia,2012,0.145
Estonia,2013,0.086
Estonia,2014,0.09
Estonia,2015,0.097
Estonia,2016,0.124
Estonia,2017,0.083
Estonia,2018,0.046
Estonia,2019,0.078
Estonia,2020,0.183
Europe,1965,6.793
Europe,1966,7.083
Europe,1967,6.878
Europe,1968,6.681
Europe,1969,6.131
Europe,1970,6.019
Europe,1971,5.92
Europe,1972,5.88
Europe,1973,5.644
Europe,1974,6.188
Europe,1975,6.38
Europe,1976,5.582
Europe,1977,6.648
Europe,1978,6.392
Europe,1979,6.481
Europe,1980,6.448
Europe,1981,6.7
Europe,1982,6.769
Europe,1983,6.906
Europe,1984,6.803
Europe,1985,5.897
Europe,1986,5.605
Europe,1987,5.984
Europe,1988,6.347
Europe,1989,5.543
Europe,1990,5.582
Europe,1991,5.772
Europe,1992,6.161
Europe,1993,6.515
Europe,1994,6.736
Europe,1995,6.692
Europe,1996,6.337
Europe,1997,6.585
Europe,1998,6.83
Europe,1999,6.922
Europe,2000,7.066
Europe,2001,6.881
Europe,2002,6.325
Europe,2003,5.798
Europe,2004,6.115
Europe,2005,6.061
Europe,2006,5.871
Europe,2007,5.909
Europe,2008,6.209
Europe,2009,6.522
Europe,2010,6.89
Europe,2011,6.144
Europe,2012,6.735
Europe,2013,7.152
Europe,2014,7.195
Europe,2015,7.002
Europe,2016,7.032
Europe,2017,6.213
Europe,2018,6.828
Europe,2019,6.707
Europe,2020,7.545
European Union (27),1965,6.274
European Union (27),1966,6.601
European Union (27),1967,6.149
European Union (27),1968,5.852
European Union (27),1969,5.304
European Union (27),1970,5.214
European Union (27),1971,5.02
European Union (27),1972,4.998
European Union (27),1973,4.703
European Union (27),1974,5.131
European Union (27),1975,5.196
European Union (27),1976,4.264
European Union (27),1977,5.595
European Union (27),1978,5.232
European Union (27),1979,5.293
European Union (27),1980,5.106
European Union (27),1981,5.19
European Union (27),1982,5.227
European Union (27),1983,5.309
European Union (27),1984,5.227
European Union (27),1985,5.078
European Union (27),1986,4.728
European Union (27),1987,5.087
European Union (27),1988,5.328
European Union (27),1989,4.338
European Union (27),1990,4.552
European Union (27),1991,4.792
European Union (27),1992,5.085
European Union (27),1993,5.257
European Union (27),1994,5.434
European Union (27),1995,5.286
European Union (27),1996,5.104
European Union (27),1997,5.272
European Union (27),1998,5.388
European Union (27),1999,5.38
European Union (27),2000,5.537
European Union (27),2001,5.692
European Union (27),2002,4.792
European Union (27),2003,4.518
European Union (27),2004,4.704
European Union (27),2005,4.419
European Union (27),2006,4.41
European Union (27),2007,4.411
European Union (27),2008,4.663
European Union (27),2009,4.973
European Union (27),2010,5.379
European Union (27),2011,4.54
European Union (27),2012,4.921
European Union (27),2013,5.468
European Union (27),2014,5.672
European Union (27),2015,5.035
European Union (27),2016,5.083
European Union (27),2017,4.242
European Union (27),2018,4.965
European Union (27),2019,4.654
European Union (27),2020,5.45
Finland,1965,22.846
Finland,1966,22.266
Finland,1967,23.723
Finland,1968,19.666
Finland,1969,14.871
Finland,1970,14.698
Finland,1971,16.066
Finland,1972,14.797
Finland,1973,13.676
Finland,1974,17.157
Finland,1975,16.222
Finland,1976,11.846
Finland,1977,14.424
Finland,1978,11.157
Finland,1979,11.46
Finland,1980,10.815
Finland,1981,14.372
Finland,1982,13.954
Finland,1983,14.629
Finland,1984,13.688
Finland,1985,12.132
Finland,1986,12.047
Finland,1987,12.746
Finland,1988,12.424
Finland,1989,12.059
Finland,1990,9.497
Finland,1991,11.288
Finland,1992,12.977
Finland,1993,11.479
Finland,1994,9.548
Finland,1995,11.002
Finland,1996,9.598
Finland,1997,9.583
Finland,1998,11.625
Finland,1999,10.047
Finland,2000,11.521
Finland,2001,10.08
Finland,2002,8.129
Finland,2003,6.707
Finland,2004,10.567
Finland,2005,10.451
Finland,2006,8.145
Finland,2007,10.047
Finland,2008,12.558
Finland,2009,9.989
Finland,2010,9.274
Finland,2011,9.505
Finland,2012,13.195
Finland,2013,9.915
Finland,2014,10.68
Finland,2015,13.388
Finland,2016,12.329
Finland,2017,11.714
Finland,2018,10.264
Finland,2019,9.794
Finland,2020,12.773
France,1965,10.008
France,1966,10.89
France,1967,8.885
France,1968,9.357
France,1969,8.912
France,1970,8.785
France,1971,7.277
France,1972,6.803
France,1973,6.117
France,1974,7.349
France,1975,8.345
France,1976,6.325
France,1977,9.833
France,1978,8.424
France,1979,7.95
France,1980,8.432
France,1981,8.854
France,1982,8.99
France,1983,8.636
France,1984,7.908
France,1985,7.28
France,1986,7.171
France,1987,7.948
France,1988,8.513
France,1989,5.1
France,1990,5.692
France,1991,5.726
France,1992,6.804
France,1993,6.404
France,1994,7.88
France,1995,7.141
France,1996,6.216
France,1997,6.084
France,1998,5.789
France,1999,6.647
France,2000,6.006
France,2001,6.599
France,2002,5.385
France,2003,5.168
France,2004,5.146
France,2005,4.445
France,2006,4.872
France,2007,5.043
France,2008,5.522
France,2009,5.204
France,2010,5.527
France,2011,4.082
France,2012,5.326
France,2013,6.319
France,2014,5.818
France,2015,4.992
France,2016,5.544
France,2017,4.536
France,2018,5.787
France,2019,5.164
France,2020,6.255
Germany,1965,1.518
Germany,1966,1.638
Germany,1967,1.559
Germany,1968,1.482
Germany,1969,1.115
Germany,1970,1.35
Germany,1971,1.027
Germany,1972,0.974
Germany,1973,1.062
Germany,1974,1.252
Germany,1975,1.26
Germany,1976,0.959
Germany,1977,1.221
Germany,1978,1.23
Germany,1979,1.167
Germany,1980,1.252
Germany,1981,1.35
Germany,1982,1.387
Germany,1983,1.296
Germany,1984,1.235
Germany,1985,1.13
Germany,1986,1.216
Germany,1987,1.321
Germany,1988,1.3
Germany,1989,1.193
Germany,1990,1.152
Germany,1991,1.08
Germany,1992,1.295
Germany,1993,1.324
Germany,1994,1.424
Germany,1995,1.512
Germany,1996,1.278
Germany,1997,1.304
Germany,1998,1.318
Germany,1999,1.455
Germany,2000,1.738
Germany,2001,1.586
Germany,2002,1.626
Germany,2003,1.211
Germany,2004,1.366
Germany,2005,1.343
Germany,2006,1.327
Germany,2007,1.457
Germany,2008,1.385
Germany,2009,1.367
Germany,2010,1.435
Germany,2011,1.249
Germany,2012,1.532
Germany,2013,1.542
Germany,2014,1.363
Germany,2015,1.29
Germany,2016,1.366
Germany,2017,1.316
Germany,2018,1.197
Germany,2019,1.379
Germany,2020,1.366
Greece,1965,2.816
Greece,1966,5.566
Greece,1967,4.849
Greece,1968,3.843
Greece,1969,5.47
Greece,1970,6.318
Greece,1971,5.332
Greece,1972,4.796
Greece,1973,3.459
Greece,1974,3.736
Greece,1975,2.828
Greece,1976,2.386
Greece,1977,2.354
Greece,1978,3.599
Greece,1979,4.894
Greece,1980,4.717
Greece,1981,4.831
Greece,1982,4.982
Greece,1983,3.252
Greece,1984,3.811
Greece,1985,3.535
Greece,1986,4.07
Greece,1987,3.197
Greece,1988,2.576
Greece,1989,1.907
Greece,1990,1.712
Greece,1991,2.959
Greece,1992,2.066
Greece,1993,2.112
Greece,1994,2.366
Greece,1995,3.101
Greece,1996,3.728
Greece,1997,3.235
Greece,1998,2.916
Greece,1999,3.605
Greece,2000,2.755
Greece,2001,1.541
Greece,2002,2.043
Greece,2003,3.269
Greece,2004,3.184
Greece,2005,3.387
Greece,2006,3.824
Greece,2007,1.645
Greece,2008,2.153
Greece,2009,3.604
Greece,2010,5.223
Greece,2011,2.85
Greece,2012,3.308
Greece,2013,5.051
Greece,2014,3.764
Greece,2015,5.045
Greece,2016,4.647
Greece,2017,3.151
Greece,2018,4.54
Greece,2019,2.973
Greece,2020,3.054
Hong Kong,1965,0
Hong Kong,1966,0
Hong Kong,1967,0
Hong Kong,1968,0
Hong Kong,1969,0
Hong Kong,1970,0
Hong Kong,1971,0
Hong Kong,1972,0
Hong Kong,1973,0
Hong Kong,1974,0
Hong Kong,1975,0
Hong Kong,1976,0
Hong Kong,1977,0
Hong Kong,1978,0
Hong Kong,1979,0
Hong Kong,1980,0
Hong Kong,1981,0
Hong Kong,1982,0
Hong Kong,1983,0
Hong Kong,1984,0
Hong Kong,1985,0
Hong Kong,1986,0
Hong Kong,1987,0
Hong Kong,1988,0
Hong Kong,1989,0
Hong Kong,1990,0
Hong Kong,1991,0
Hong Kong,1992,0
Hong Kong,1993,0
Hong Kong,1994,0
Hong Kong,1995,0
Hong Kong,1996,0
Hong Kong,1997,0
Hong Kong,1998,0
Hong Kong,1999,0
Hong Kong,2000,0
Hong Kong,2001,0
Hong Kong,2002,0
Hong Kong,2003,0
Hong Kong,2004,0
Hong Kong,2005,0
Hong Kong,2006,0
Hong Kong,2007,0
Hong Kong,2008,0
Hong Kong,2009,0
Hong Kong,2010,0
Hong Kong,2011,0
Hong Kong,2012,0
Hong Kong,2013,0
Hong Kong,2014,0
Hong Kong,2015,0
Hong Kong,2016,0
Hong Kong,2017,0
Hong Kong,2018,0
Hong Kong,2019,0
Hong Kong,2020,0
Hungary,1965,0.113
Hungary,1966,0.148
Hungary,1967,0.127
Hungary,1968,0.133
Hungary,1969,0.133
Hungary,1970,0.114
Hungary,1971,0.121
Hungary,1972,0.134
Hungary,1973,0.114
Hungary,1974,0.088
Hungary,1975,0.168
Hungary,1976,0.159
Hungary,1977,0.137
Hungary,1978,0.118
Hungary,1979,0.126
Hungary,1980,0.097
Hungary,1981,0.146
Hungary,1982,0.138
Hungary,1983,0.137
Hungary,1984,0.156
Hungary,1985,0.129
Hungary,1986,0.129
Hungary,1987,0.136
Hungary,1988,0.139
Hungary,1989,0.133
Hungary,1990,0.153
Hungary,1991,0.179
Hungary,1992,0.152
Hungary,1993,0.164
Hungary,1994,0.158
Hungary,1995,0.158
Hungary,1996,0.197
Hungary,1997,0.211
Hungary,1998,0.149
Hungary,1999,0.175
Hungary,2000,0.177
Hungary,2001,0.179
Hungary,2002,0.188
Hungary,2003,0.164
Hungary,2004,0.193
Hungary,2005,0.177
Hungary,2006,0.164
Hungary,2007,0.187
Hungary,2008,0.191
Hungary,2009,0.221
Hungary,2010,0.178
Hungary,2011,0.215
Hungary,2012,0.22
Hungary,2013,0.231
Hungary,2014,0.325
Hungary,2015,0.238
Hungary,2016,0.256
Hungary,2017,0.206
Hungary,2018,0.205
Hungary,2019,0.199
Hungary,2020,0.224
Iceland,1965,23.831
Iceland,1966,22.105
Iceland,1967,23.785
Iceland,1968,23.237
Iceland,1969,29.251
Iceland,1970,39.845
Iceland,1971,39.891
Iceland,1972,40.58
Iceland,1973,43.058
Iceland,1974,45.777
Iceland,1975,46.623
Iceland,1976,48.076
Iceland,1977,48.74
Iceland,1978,48.255
Iceland,1979,50.122
Iceland,1980,53.638
Iceland,1981,53.149
Iceland,1982,57.347
Iceland,1983,58.519
Iceland,1984,57.923
Iceland,1985,57.344
Iceland,1986,57.535
Iceland,1987,56.801
Iceland,1988,57.301
Iceland,1989,55.976
Iceland,1990,55.135
Iceland,1991,56.483
Iceland,1992,56.534
Iceland,1993,56.401
Iceland,1994,56.381
Iceland,1995,56.668
Iceland,1996,54.452
Iceland,1997,56.773
Iceland,1998,56.672
Iceland,1999,55.665
Iceland,2000,55.104
Iceland,2001,56.081
Iceland,2002,56.895
Iceland,2003,57.154
Iceland,2004,56.044
Iceland,2005,54.556
Iceland,2006,51.308
Iceland,2007,51.401
Iceland,2008,60.633
Iceland,2009,59.634
Iceland,2010,60.781
Iceland,2011,59.993
Iceland,2012,58.241
Iceland,2013,58.491
Iceland,2014,58.264
Iceland,2015,59.406
Iceland,2016,57.431
Iceland,2017,56.965
Iceland,2018,53.706
Iceland,2019,54.774
Iceland,2020,56.934
India,1965,8.643
India,1966,8.758
India,1967,9.507
India,1968,10.267
India,1969,10.283
India,1970,11.151
India,1971,11.763
India,1972,10.844
India,1973,11.316
India,1974,10.271
India,1975,11.421
India,1976,11.392
India,1977,11.753
India,1978,14.048
India,1979,12.826
India,1980,12.743
India,1981,12.261
India,1982,10.437
India,1983,9.558
India,1984,10.001
India,1985,9.14
India,1986,8.662
India,1987,7.582
India,1988,7.771
India,1989,8.257
India,1990,8.06
India,1991,8.506
India,1992,7.663
India,1993,7.548
India,1994,8.125
India,1995,7.152
India,1996,6.252
India,1997,6.023
India,1998,6.767
India,1999,6.467
India,2000,5.76
India,2001,5.331
India,2002,4.88
India,2003,4.733
India,2004,6.297
India,2005,5.718
India,2006,6.238
India,2007,6.22
India,2008,5.485
India,2009,4.683
India,2010,4.541
India,2011,5.162
India,2012,4.288
India,2013,4.676
India,2014,4.583
India,2015,4.232
India,2016,3.88
India,2017,3.926
India,2018,3.773
India,2019,4.261
India,2020,4.544
Indonesia,1965,6.022
Indonesia,1966,7.898
Indonesia,1967,8.981
Indonesia,1968,10.412
Indonesia,1969,9.643
Indonesia,1970,10.946
Indonesia,1971,3.768
Indonesia,1972,3.176
Indonesia,1973,3.554
Indonesia,1974,3.674
Indonesia,1975,3.146
Indonesia,1976,1.756
Indonesia,1977,2.209
Indonesia,1978,1.424
Indonesia,1979,1.387
Indonesia,1980,1.174
Indonesia,1981,1.077
Indonesia,1982,1.153
Indonesia,1983,1.634
Indonesia,1984,1.647
Indonesia,1985,1.894
Indonesia,1986,2.751
Indonesia,1987,2.677
Indonesia,1988,2.786
Indonesia,1989,3.141
Indonesia,1990,2.948
Indonesia,1991,3.102
Indonesia,1992,3.679
Indonesia,1993,3.209
Indonesia,1994,2.695
Indonesia,1995,2.629
Indonesia,1996,2.622
Indonesia,1997,1.605
Indonesia,1998,2.887
Indonesia,1999,2.649
Indonesia,2000,2.361
Indonesia,2001,2.552
Indonesia,2002,2.091
Indonesia,2003,1.768
Indonesia,2004,1.876
Indonesia,2005,2.017
Indonesia,2006,1.771
Indonesia,2007,1.921
Indonesia,2008,1.951
Indonesia,2009,1.842
Indonesia,2010,2.56
Indonesia,2011,1.684
Indonesia,2012,1.62
Indonesia,2013,2.063
Indonesia,2014,1.98
Indonesia,2015,1.764
Indonesia,2016,2.357
Indonesia,2017,2.244
Indonesia,2018,1.866
Indonesia,2019,1.705
Indonesia,2020,2.263
Iran,1965,4.924
Iran,1966,4.854
Iran,1967,4.75
Iran,1968,4.647
Iran,1969,4.557
Iran,1970,4.159
Iran,1971,4.081
Iran,1972,4.729
Iran,1973,3.349
Iran,1974,3.253
Iran,1975,2.931
Iran,1976,2.913
Iran,1977,2.658
Iran,1978,4.263
Iran,1979,3.422
Iran,1980,3.828
Iran,1981,4.165
Iran,1982,3.872
Iran,1983,3.19
Iran,1984,2.759
Iran,1985,2.549
Iran,1986,3.253
Iran,1987,3.364
Iran,1988,3.481
Iran,1989,2.598
Iran,1990,2.531
Iran,1991,1.771
Iran,1992,2.631
Iran,1993,3.255
Iran,1994,1.901
Iran,1995,2.188
Iran,1996,2.13
Iran,1997,1.393
Iran,1998,1.685
Iran,1999,1.074
Iran,2000,0.752
Iran,2001,0.763
Iran,2002,1.352
Iran,2003,1.579
Iran,2004,1.765
Iran,2005,2.006
Iran,2006,2.337
Iran,2007,2.119
Iran,2008,0.846
Iran,2009,0.74
Iran,2010,1.104
Iran,2011,1.094
Iran,2012,1.259
Iran,2013,1.412
Iran,2014,1.331
Iran,2015,1.215
Iran,2016,1.342
Iran,2017,1.437
Iran,2018,0.893
Iran,2019,2.156
Iran,2020,1.563
Iraq,1965,0.965
Iraq,1966,1.135
Iraq,1967,1.283
Iraq,1968,1.45
Iraq,1969,1.364
Iraq,1970,1.311
Iraq,1971,1.388
Iraq,1972,1.171
Iraq,1973,1.739
Iraq,1974,2.434
Iraq,1975,2.551
Iraq,1976,1.988
Iraq,1977,2.378
Iraq,1978,3.091
Iraq,1979,3.591
Iraq,1980,2.017
Iraq,1981,1.794
Iraq,1982,1.69
Iraq,1983,1.527
Iraq,1984,1.415
Iraq,1985,1.197
Iraq,1986,1.061
Iraq,1987,3.83
Iraq,1988,3.285
Iraq,1989,2.932
Iraq,1990,5.661
Iraq,1991,3.885
Iraq,1992,6.005
Iraq,1993,5.225
Iraq,1994,4.628
Iraq,1995,5.37
Iraq,1996,4.718
Iraq,1997,4.101
Iraq,1998,5.481
Iraq,1999,4.194
Iraq,2000,2.964
Iraq,2001,3.03
Iraq,2002,3.926
Iraq,2003,4.396
Iraq,2004,4.947
Iraq,2005,4.364
Iraq,2006,4.33
Iraq,2007,3.715
Iraq,2008,2.287
Iraq,2009,1.964
Iraq,2010,2.34
Iraq,2011,2.065
Iraq,2012,2.498
Iraq,2013,2.415
Iraq,2014,1.541
Iraq,2015,1.377
Iraq,2016,1.579
Iraq,2017,1.027
Iraq,2018,0.814
Iraq,2019,1.006
Iraq,2020,1.059
Ireland,1965,3.877
Ireland,1966,3.117
Ireland,1967,2.718
Ireland,1968,2.228
Ireland,1969,1.682
Ireland,1970,2.946
Ireland,1971,1.643
Ireland,1972,2.296
Ireland,1973,2.036
Ireland,1974,2.475
Ireland,1975,1.75
Ireland,1976,1.944
Ireland,1977,2.289
Ireland,1978,2.062
Ireland,1979,2.213
Ireland,1980,2.32
Ireland,1981,2.443
Ireland,1982,2.295
Ireland,1983,2.261
Ireland,1984,2.012
Ireland,1985,2.34
Ireland,1986,2.378
Ireland,1987,1.755
Ireland,1988,2.243
Ireland,1989,1.741
Ireland,1990,1.656
Ireland,1991,1.711
Ireland,1992,1.861
Ireland,1993,1.705
Ireland,1994,1.973
Ireland,1995,1.5
Ireland,1996,1.436
Ireland,1997,1.292
Ireland,1998,1.623
Ireland,1999,1.417
Ireland,2000,1.362
Ireland,2001,0.899
Ireland,2002,1.377
Ireland,2003,0.921
Ireland,2004,0.951
Ireland,2005,0.908
Ireland,2006,1.014
Ireland,2007,0.899
Ireland,2008,1.304
Ireland,2009,1.323
Ireland,2010,0.876
Ireland,2011,1.084
Ireland,2012,1.241
Ireland,2013,0.942
Ireland,2014,1.111
Ireland,2015,1.182
Ireland,2016,0.951
Ireland,2017,0.957
Ireland,2018,0.934
Ireland,2019,1.192
Ireland,2020,1.348
Israel,1965,0
Israel,1966,0
Israel,1967,0
Israel,1968,0
Israel,1969,0
Israel,1970,0
Israel,1971,0
Israel,1972,0
Israel,1973,0
Israel,1974,0
Israel,1975,0
Israel,1976,0
Israel,1977,0
Israel,1978,0
Israel,1979,0
Israel,1980,0
Israel,1981,0.006
Israel,1982,0.006
Israel,1983,0.003
Israel,1984,0.005
Israel,1985,0.006
Israel,1986,0.016
Israel,1987,0.024
Israel,1988,0.022
Israel,1989,0.006
Israel,1990,0.006
Israel,1991,0.012
Israel,1992,0.054
Israel,1993,0.045
Israel,1994,0.037
Israel,1995,0.036
Israel,1996,0.033
Israel,1997,0.035
Israel,1998,0.032
Israel,1999,0.041
Israel,2000,0.037
Israel,2001,0.012
Israel,2002,0.024
Israel,2003,0.035
Israel,2004,0.031
Israel,2005,0.03
Israel,2006,0.016
Israel,2007,0.014
Israel,2008,0.016
Israel,2009,0.024
Israel,2010,0.029
Israel,2011,0.027
Israel,2012,0.029
Israel,2013,0.026
Israel,2014,0.012
Israel,2015,0.022
Israel,2016,0
Israel,2017,0
Israel,2018,0
Israel,2019,0
Israel,2020,0
Italy,1965,12.867
Italy,1966,12.147
Italy,1967,10.853
Italy,1968,10.118
Italy,1969,9.061
Italy,1970,8.045
Italy,1971,7.393
Italy,1972,7.459
Italy,1973,6.481
Italy,1974,6.531
Italy,1975,7.244
Italy,1976,6.552
Italy,1977,8.535
Italy,1978,7.405
Italy,1979,7.251
Italy,1980,7.329
Italy,1981,7.119
Italy,1982,6.998
Italy,1983,7.146
Italy,1984,7.199
Italy,1985,7.004
Italy,1986,6.819
Italy,1987,6.362
Italy,1988,6.393
Italy,1989,5.203
Italy,1990,4.751
Italy,1991,6.158
Italy,1992,6.178
Italy,1993,6.195
Italy,1994,6.696
Italy,1995,5.44
Italy,1996,6.057
Italy,1997,5.892
Italy,1998,5.706
Italy,1999,6.11
Italy,2000,5.873
Italy,2001,6.187
Italy,2002,5.223
Italy,2003,4.666
Italy,2004,5.239
Italy,2005,4.428
Italy,2006,4.536
Italy,2007,4.075
Italy,2008,5.231
Italy,2009,6.585
Italy,2010,6.597
Italy,2011,5.997
Italy,2012,5.607
Italy,2013,7.372
Italy,2014,8.592
Italy,2015,6.253
Italy,2016,5.703
Italy,2017,4.742
Italy,2018,6.647
Italy,2019,6.41
Italy,2020,7.074
Japan,1965,11.675
Japan,1966,11.023
Japan,1967,8.305
Japan,1968,7.981
Japan,1969,7.184
Japan,1970,6.429
Japan,1971,6.744
Japan,1972,6.506
Japan,1973,4.596
Japan,1974,5.668
Japan,1975,5.986
Japan,1976,5.788
Japan,1977,5.015
Japan,1978,4.622
Japan,1979,5.127
Japan,1980,5.779
Japan,1981,5.816
Japan,1982,5.639
Japan,1983,5.748
Japan,1984,4.5
Japan,1985,5.171
Japan,1986,5.036
Japan,1987,4.569
Japan,1988,5.187
Japan,1989,5.095
Japan,1990,4.653
Japan,1991,4.946
Japan,1992,4.148
Japan,1993,4.729
Japan,1994,3.171
Japan,1995,3.69
Japan,1996,3.545
Japan,1997,3.898
Japan,1998,4.1
Japan,1999,3.793
Japan,2000,3.783
Japan,2001,3.662
Japan,2002,3.592
Japan,2003,4.108
Japan,2004,4.002
Japan,2005,3.353
Japan,2006,3.825
Japan,2007,3.222
Japan,2008,3.288
Japan,2009,3.359
Japan,2010,3.935
Japan,2011,3.844
Japan,2012,3.595
Japan,2013,3.707
Japan,2014,3.895
Japan,2015,4.127
Japan,2016,3.845
Japan,2017,3.774
Japan,2018,3.859
Japan,2019,3.574
Japan,2020,4.044
Kazakhstan,1985,1.82
Kazakhstan,1986,1.633
Kazakhstan,1987,1.915
Kazakhstan,1988,2.254
Kazakhstan,1989,2.388
Kazakhstan,1990,2.384
Kazakhstan,1991,2.333
Kazakhstan,1992,2.254
Kazakhstan,1993,2.838
Kazakhstan,1994,3.836
Kazakhstan,1995,3.875
Kazakhstan,1996,3.917
Kazakhstan,1997,3.938
Kazakhstan,1998,3.95
Kazakhstan,1999,4.197
Kazakhstan,2000,5.679
Kazakhstan,2001,5.377
Kazakhstan,2002,5.771
Kazakhstan,2003,5.073
Kazakhstan,2004,4.45
Kazakhstan,2005,4.147
Kazakhstan,2006,3.784
Kazakhstan,2007,3.572
Kazakhstan,2008,3.067
Kazakhstan,2009,3.122
Kazakhstan,2010,3.368
Kazakhstan,2011,2.904
Kazakhstan,2012,2.663
Kazakhstan,2013,2.664
Kazakhstan,2014,2.777
Kazakhstan,2015,3.077
Kazakhstan,2016,3.859
Kazakhstan,2017,3.432
Kazakhstan,2018,2.866
Kazakhstan,2019,2.828
Kazakhstan,2020,2.801
Kuwait,1965,0
Kuwait,1966,0
Kuwait,1967,0
Kuwait,1968,0
Kuwait,1969,0
Kuwait,1970,0
Kuwait,1971,0
Kuwait,1972,0
Kuwait,1973,0
Kuwait,1974,0
Kuwait,1975,0
Kuwait,1976,0
Kuwait,1977,0
Kuwait,1978,0
Kuwait,1979,0
Kuwait,1980,0
Kuwait,1981,0
Kuwait,1982,0
Kuwait,1983,0
Kuwait,1984,0
Kuwait,1985,0
Kuwait,1986,0
Kuwait,1987,0
Kuwait,1988,0
Kuwait,1989,0
Kuwait,1990,0
Kuwait,1991,0
Kuwait,1992,0
Kuwait,1993,0
Kuwait,1994,0
Kuwait,1995,0
Kuwait,1996,0
Kuwait,1997,0
Kuwait,1998,0
Kuwait,1999,0
Kuwait,2000,0
Kuwait,2001,0
Kuwait,2002,0
Kuwait,2003,0
Kuwait,2004,0
Kuwait,2005,0
Kuwait,2006,0
Kuwait,2007,0
Kuwait,2008,0
Kuwait,2009,0
Kuwait,2010,0
Kuwait,2011,0
Kuwait,2012,0
Kuwait,2013,0
Kuwait,2014,0
Kuwait,2015,0
Kuwait,2016,0
Kuwait,2017,0
Kuwait,2018,0
Kuwait,2019,0
Kuwait,2020,0
Latvia,1985,7.824
Latvia,1986,8.486
Latvia,1987,11.486
Latvia,1988,9.862
Latvia,1989,11.87
Latvia,1990,14.58
Latvia,1991,11.502
Latvia,1992,12.376
Latvia,1993,16.424
Latvia,1994,19.52
Latvia,1995,18.524
Latvia,1996,12.561
Latvia,1997,19.889
Latvia,1998,26.828
Latvia,1999,20.101
Latvia,2000,21.023
Latvia,2001,19.466
Latvia,2002,16.646
Latvia,2003,15.392
