Country,Year,Solar Capacity (Gigawatts)
South Africa,1998,0.004
South Africa,1999,0.006
South Africa,2000,0
South Africa,2001,0
South Africa,2002,0
South Africa,2003,0
South Africa,2004,0
South Africa,2005,0
South Africa,2006,0
South Africa,2007,0
South Africa,2008,0
South Africa,2009,0
South Africa,2010,0.001959
South Africa,2011,0.005658
South Africa,2012,0.011303
South Africa,2013,0.261625
South Africa,2014,1.062901
South Africa,2015,1.251656
South Africa,2016,1.974026
South Africa,2017,3.14673
South Africa,2018,4.400929
South Africa,2019,4.404991
South Africa,2020,5.49
South Korea,1996,0
South Korea,1997,0
South Korea,1998,0
South Korea,1999,0
South Korea,2000,0.004
South Korea,2001,0.005
South Korea,2002,0.005
South Korea,2003,0.006
South Korea,2004,0.009
South Korea,2005,0.014
South Korea,2006,0.036
South Korea,2007,0.081
South Korea,2008,0.357
South Korea,2009,0.524
South Korea,2010,0.65
South Korea,2011,0.7302
South Korea,2012,1.0242
South Korea,2013,1.5552
South Korea,2014,2.4812
South Korea,2015,3.6152
South Korea,2016,4.5022
South Korea,2017,5.8352
South Korea,2018,7.129859
South Korea,2019,10.505102
South Korea,2020,14.575
Spain,1996,0.001
Spain,1997,0.001
Spain,1998,0.001
Spain,1999,0.002
Spain,2000,0.01
Spain,2001,0.013
Spain,2002,0.017
Spain,2003,0.022
Spain,2004,0.033
Spain,2005,0.052
Spain,2006,0.13
Spain,2007,0.494
Spain,2008,3.384
Spain,2009,3.423
Spain,2010,3.873
Spain,2011,4.283
Spain,2012,4.569
Spain,2013,4.69
Spain,2014,4.697
Spain,2015,4.704
Spain,2016,4.713
Spain,2017,4.723
Spain,2018,4.764
Spain,2019,8.973
Spain,2020,11.785
Sweden,1996,0.002
Sweden,1997,0.002
Sweden,1998,0.002
Sweden,1999,0.003
Sweden,2000,0.003
Sweden,2001,0.003
Sweden,2002,0.003
Sweden,2003,0.004
Sweden,2004,0.004
Sweden,2005,0.004
Sweden,2006,0.005
Sweden,2007,0.006
Sweden,2008,0.008
Sweden,2009,0.009
Sweden,2010,0.011
Sweden,2011,0.012
Sweden,2012,0.024
Sweden,2013,0.043
Sweden,2014,0.06
Sweden,2015,0.104
Sweden,2016,0.153
Sweden,2017,0.244
Sweden,2018,0.428
Sweden,2019,0.714
Sweden,2020,1.417
Switzerland,1996,0.008
Switzerland,1997,0.01
Switzerland,1998,0.012
Switzerland,1999,0.013
Switzerland,2000,0.016
Switzerland,2001,0.018
Switzerland,2002,0.02
Switzerland,2003,0.022
Switzerland,2004,0.024
Switzerland,2005,0.028
Switzerland,2006,0.03
Switzerland,2007,0.037
Switzerland,2008,0.049
Switzerland,2009,0.079
Switzerland,2010,0.125
Switzerland,2011,0.223
Switzerland,2012,0.437
Switzerland,2013,0.756
Switzerland,2014,1.061
Switzerland,2015,1.394
Switzerland,2016,1.664
Switzerland,2017,1.906
Switzerland,2018,2.203
Switzerland,2019,2.589
Switzerland,2020,3.188
Taiwan,1996,0
Taiwan,1997,0
Taiwan,1998,0
Taiwan,1999,0
Taiwan,2000,0.0001
Taiwan,2001,0.0002
Taiwan,2002,0.0003
Taiwan,2003,0.0005
Taiwan,2004,0.0006
Taiwan,2005,0.001
Taiwan,2006,0.0014
Taiwan,2007,0.0024
Taiwan,2008,0.0056
Taiwan,2009,0.0095
Taiwan,2010,0.022
Taiwan,2011,0.13
Taiwan,2012,0.231
Taiwan,2013,0.41
Taiwan,2014,0.636
Taiwan,2015,0.8422
Taiwan,2016,1.245
Taiwan,2017,1.7677
Taiwan,2018,2.738116
Taiwan,2019,4.149536
Taiwan,2020,5.817
Thailand,1996,0
Thailand,1997,0
Thailand,1998,0
Thailand,1999,0
Thailand,2000,0
Thailand,2001,0
Thailand,2002,0
Thailand,2003,0
Thailand,2004,0
Thailand,2005,0
Thailand,2006,0.03041
Thailand,2007,0.03225
Thailand,2008,0.03235
Thailand,2009,0.037
Thailand,2010,0.0486
Thailand,2011,0.0787
Thailand,2012,0.377
Thailand,2013,0.824
Thailand,2014,1.299
Thailand,2015,1.42
Thailand,2016,2.446
Thailand,2017,2.697
Thailand,2018,2.962
Thailand,2019,2.983
Thailand,2020,2.983
Turkey,1996,0
Turkey,1997,0
Turkey,1998,0
Turkey,1999,0
Turkey,2000,0.0001
Turkey,2001,0.0003
Turkey,2002,0.0006
Turkey,2003,0.001
Turkey,2004,0.0015
Turkey,2005,0.002
Turkey,2006,0.0025
Turkey,2007,0.003
Turkey,2008,0.0037
Turkey,2009,0.0047
Turkey,2010,0.0057
Turkey,2011,0.0067
Turkey,2012,0.0117
Turkey,2013,0.018
Turkey,2014,0.04
Turkey,2015,0.249
Turkey,2016,0.833
Turkey,2017,3.421
Turkey,2018,5.063
Turkey,2019,5.995
Turkey,2020,6.667
Ukraine,1996,0
Ukraine,1997,0
Ukraine,1998,0
Ukraine,1999,0
Ukraine,2000,0
Ukraine,2001,0
Ukraine,2002,0
Ukraine,2003,0
Ukraine,2004,0
Ukraine,2005,0
Ukraine,2006,0
Ukraine,2007,0
Ukraine,2008,0
Ukraine,2009,0
Ukraine,2010,0.0025
Ukraine,2011,0.1882
Ukraine,2012,0.3716
Ukraine,2013,0.7484
Ukraine,2014,0.8191
Ukraine,2015,0.8412
Ukraine,2016,0.9547
Ukraine,2017,1.2
Ukraine,2018,2.002688
Ukraine,2019,5.935688
Ukraine,2020,7.331
United Arab Emirates,1996,0
United Arab Emirates,1997,0
United Arab Emirates,1998,0
United Arab Emirates,1999,0
United Arab Emirates,2000,0
United Arab Emirates,2001,0
United Arab Emirates,2002,0
United Arab Emirates,2003,0
United Arab Emirates,2004,0
United Arab Emirates,2005,0
United Arab Emirates,2006,0
United Arab Emirates,2007,0
United Arab Emirates,2008,0
United Arab Emirates,2009,0.01
United Arab Emirates,2010,0.0108
United Arab Emirates,2011,0.0126
United Arab Emirates,2012,0.013
United Arab Emirates,2013,0.026
United Arab Emirates,2014,0.033
United Arab Emirates,2015,0.033
United Arab Emirates,2016,0.04
United Arab Emirates,2017,0.255
United Arab Emirates,2018,0.498
United Arab Emirates,2019,1.818
United Arab Emirates,2020,2.439
United Kingdom,1996,0.0002
United Kingdom,1997,0.0004
United Kingdom,1998,0.0005
United Kingdom,1999,0.0009
United Kingdom,2000,0.002
United Kingdom,2001,0.003
United Kingdom,2002,0.004
United Kingdom,2003,0.006
United Kingdom,2004,0.008
United Kingdom,2005,0.011
United Kingdom,2006,0.014
United Kingdom,2007,0.018
United Kingdom,2008,0.023
United Kingdom,2009,0.027
United Kingdom,2010,0.095
United Kingdom,2011,1
United Kingdom,2012,1.753
United Kingdom,2013,2.937
United Kingdom,2014,5.528
United Kingdom,2015,9.601219
United Kingdom,2016,11.914
United Kingdom,2017,12.76
United Kingdom,2018,13.073
United Kingdom,2019,13.346
United Kingdom,2020,13.563
United States,1996,0.0139
United States,1997,0.0146
United States,1998,0.0152
United States,1999,0.0166
United States,2000,0.0185
United States,2001,0.0219
United States,2002,0.028
United States,2003,0.073
United States,2004,0.111
United States,2005,0.19
United States,2006,0.295
United States,2007,0.455
United States,2008,0.753
United States,2009,1.188
United States,2010,2.04
United States,2011,5.172
United States,2012,8.137
United States,2013,11.759
United States,2014,15.984
United States,2015,21.684
United States,2016,32.958
United States,2017,41.357
United States,2018,51.426
United States,2019,58.924
United States,2020,73.814
Vietnam,2000,0.000002
Vietnam,2001,0.000108
Vietnam,2002,0.000236
Vietnam,2003,0.000406
Vietnam,2004,0.000747
Vietnam,2005,0.001885
Vietnam,2006,0.003424
Vietnam,2007,0.003424
Vietnam,2008,0.003424
Vietnam,2009,0.003515
Vietnam,2010,0.004518
Vietnam,2011,0.004518
Vietnam,2012,0.004518
Vietnam,2013,0.004518
Vietnam,2014,0.00529
Vietnam,2015,0.00529
Vietnam,2016,0.00529
Vietnam,2017,0.007992
Vietnam,2018,0.104992
Vietnam,2019,4.89814
Vietnam,2020,16.504
World,1996,0.171812425
World,1997,0.231737276
World,1998,0.304962126
World,1999,0.423599402
World,2000,0.651337
World,2001,0.901949
World,2002,1.211427
World,2003,1.746474
World,2004,2.800449
World,2005,4.244204
World,2006,5.698466
World,2007,7.98216
World,2008,14.371258
World,2009,22.639044
World,2010,40.12936
World,2011,72.040335
World,2012,101.449
World,2013,135.681061
World,2014,171.589873
World,2015,217.463222
World,2016,291.295309
World,2017,384.451503
World,2018,482.915904
World,2019,580.760214
World,2020,707.495
