Country,Year,GDP,Population
Sub-Saharan Africa,2015,3818.140158,
Sub-Saharan Africa (IDA & IBRD),2015,3818.140158,
Sub-Saharan Africa (excluding high income),2015,3816.11404,
Sudan,2015,4187.862722,38902948
Suriname,2015,19317.05451,559136
Svalbard and Jan Mayen,2015,,2400
Sweden,2015,50928.96298,9764949
Switzerland,2015,68025.92004,8296775
Syria,2015,,17997411
Taiwan,2015,,23557473
Tajikistan,2015,2984.494913,8454019
Tanzania,2015,2354.138985,51482638
Thailand,2015,16285.38657,68714519
Timor,2015,3297.889163,1196294
Togo,2015,1920.469307,7323162
Tokelau,2015,,1247
Tonga,2015,5944.452686,100780
Transnistria,2015,,
Trinidad and Tobago,2015,29053.33478,1370332
Tunisia,2015,10510.33031,11179951
Turkey,2015,25958.64076,78529413
Turkmenistan,2015,12993.53181,5565283
Turks and Caicos Islands,2015,26693.10354,35979
Tuscany,2015,,
Tuvalu,2015,3720.305315,11099
Two Sicilies,2015,,
USSR,2015,,
Uganda,2015,2054.090449,38225447
Ukraine,2015,11237.07446,44921636
United Arab Emirates,2015,65218.82043,9262896
United Kingdom,2015,44840.78264,65860149
United Korea,2015,,
United States,2015,58540.29609,320878312
United States Minor Outlying Islands,2015,,
United States Virgin Islands,2015,,104950
Upper middle income,2015,15128.86942,
Uruguay,2015,22425.83008,3412013
Uzbekistan,2015,6086.715742,30929556
Vanuatu,2015,2915.70046,271128
Vatican,2015,,790
Venezuela,2015,,30081827
Vietnam,2015,6438.259854,92677082
Wallis and Futuna,2015,,12262
West Germany,2015,,
Western Sahara,2015,,526211
World,2015,15509.99647,7380117870
Wuerttemburg,2015,,
Yemen,2015,,26497881
Yemen Arab Republic,2015,,
Yemen People's Republic,2015,,
Yugoslavia,2015,,
Zambia,2015,3443.553254,15879370
Zanzibar,2015,,
Zimbabwe,2015,3198.982129,13814642
Åland Islands,2015,,
Afghanistan,2014,2102.384604,33370803
Africa,2014,,1152433617
Africa Eastern and Southern,2014,3524.832934,
Africa Western and Central,2014,4197.742146,
Albania,2014,11586.86377,2896307
Algeria,2014,11512.70511,38923688
American Samoa,2014,,55791
Andorra,2014,,79213
Angola,2014,8239.830672,26941773
Anguilla,2014,,14114
Antigua and Barbuda,2014,18104.40734,92562
Arab World,2014,14173.57928,
Argentina,2014,23550.09906,42637508
Armenia,2014,11019.83878,2912403
Aruba,2014,35875.62983,103776
Asia,2014,,4388547197
Australia,2014,47289.96461,23596426
Austria,2014,52857.05632,8615205
Azerbaijan,2014,14875.78164,9505616
Bahamas,2014,35659.93113,370625
Bahrain,2014,48201.15717,1336073
Bangladesh,2014,3511.645506,154517385
Barbados,2014,15041.55475,284825
Belarus,2014,19066.88682,9431742
Belgium,2014,48747.67705,11221225
Belize,2014,7323.144701,353366
Benin,2014,2975.854782,10286839
Bermuda,2014,77361.10488,64038
Bhutan,2014,9574.029004,719053
Bolivia,2014,7730.638402,10706517
Bonaire Sint Eustatius and Saba,2014,,24067
Bosnia and Herzegovina,2014,12066.58706,3482106
Botswana,2014,17264.3958,2088619
Brazil,2014,15749.51216,202763744
British Virgin Islands,2014,,28985
Brunei,2014,64190.82415,409778
Bulgaria,2014,18747.37005,7245648
Burkina Faso,2014,1907.949213,17586029
Burundi,2014,886.2354167,9844301
Cambodia,2014,3364.278069,15274506
Cameroon,2014,3362.664809,22681853
Canada,2014,47564.60911,35664338
Cape Verde,2014,6281.793971,518275
Caribbean Small States,2014,16095.28178,
Cayman Islands,2014,66326.88748,60848
Central African Republic,2014,822.6111949,4464171
Central Europe and the Baltics,2014,26343.9176,
Chad,2014,1866.266079,13663562
Channel Islands,2014,,164107
Chile,2014,24173.06494,17758969
China,2014,11917.3385,1399453966
Colombia,2014,13852.24205,46967706
Comoros,2014,2996.379345,759390
Congo,2014,5556.70481,4736965
Cook Islands,2014,,17685
Costa Rica,2014,18669.09668,4795390
Cote d'Ivoire,2014,4161.9403,22647672
Croatia,2014,23782.50246,4255518
Cuba,2014,,11306909
Curacao,2014,26826.59238,158432
Cyprus,2014,33207.77071,1152297
Czechia,2014,34386.70491,10591104
Democratic Republic of Congo,2014,1029.790813,73767445
Denmark,2014,52048.33549,5664199
Djibouti,2014,4238.944355,898707
Dominica,2014,12216.53184,71091
Dominican Republic,2014,14499.63041,10165182
Early-demographic dividend,2014,8216.429361,
East Asia & Pacific,2014,14361.0879,
East Asia & Pacific (IDA & IBRD),2014,11110.21257,
East Asia & Pacific (excluding high income),2014,10993.35659,
Ecuador,2014,12078.47439,15951832
Egypt,2014,10353.6668,90424668
El Salvador,2014,7990.459574,6295124
Equatorial Guinea,2014,32436.5535,1122273
Eritrea,2014,,3311444
Estonia,2014,30602.59549,1316273
Eswatini,2014,8192.527953,1095022
Ethiopia,2014,1656.634489,98094264
Euro area,2014,43078.25726,
Europe,2014,,742972976
Europe & Central Asia,2014,32256.10363,
Europe & Central Asia (IDA & IBRD),2014,20808.26195,
Europe & Central Asia (excluding high income),2014,20232.54204,
European Union,2014,39864.99135,
Faeroe Islands,2014,,47965
Falkland Islands,2014,,2787
Fiji,2014,12057.98713,866447
Finland,2014,44976.77645,5461410
France,2014,43021.39464,64193550
French Guiana,2014,,254780
French Polynesia,2014,,271713
Gabon,2014,15437.26503,1883801
Gambia,2014,2038.802518,2024037
Georgia,2014,12254.64565,4035310
Germany,2014,50770.61349,81450370
Ghana,2014,4670.244898,27224480
Gibraltar,2014,,33726
Greece,2014,28178.69021,10701460
Greenland,2014,,56383
Grenada,2014,14317.32573,108900
Guadeloupe,2014,,401305
Guam,2014,,161007
Guatemala,2014,7939.374378,15923238
Guinea,2014,2061.694917,11150970
Guinea-Bissau,2014,1740.896737,1692433
Guyana,2014,11244.44524,763371
Haiti,2014,2935.219925,10549007
Heavily indebted poor countries (HIPC),2014,2345.833032,
High income,2014,46431.18056,
Honduras,2014,5177.415197,8955579
Hong Kong,2014,56359.29899,7134668
Hungary,2014,26424.7204,9804991
IBRD only,2014,11327.66731,
IDA & IBRD total,2014,9393.801171,
IDA blend,2014,4667.687581,
IDA only,2014,2896.311457,
IDA total,2014,3496.896957,
Iceland,2014,50450.74161,328592
India,2014,5116.629105,1295600768
Indonesia,2014,9801.166283,255128076
Iran,2014,13038.55506,77465769
Iraq,2014,9991.615972,34411949
Ireland,2014,58267.41227,4626852
Isle of Man,2014,,83488
Israel,2014,37474.84918,7854216
Italy,2014,39898.52646,60409622
Jamaica,2014,9438.476912,2875137
Japan,2014,39255.27845,128168630
Jordan,2014,10284.6701,8918822
Kazakhstan,2014,24355.75612,17302619
Kenya,2014,3709.152563,46700063
Kiribati,2014,1992.233815,109387
Kosovo,2014,9214.40621,
Kuwait,2014,56647.43742,3690939
Kyrgyzstan,2014,4722.086002,5844521
Laos,2014,6193.340326,6639763
Late-demographic dividend,2014,14334.47949,
Latin America & Caribbean,2014,16326.40375,
Latin America & Caribbean (IDA & IBRD),2014,16271.95914,
Latin America & Caribbean (excluding high income),2014,15478.27025,
Latvia,2014,25387.00765,2021220
Least developed countries: UN classification,2014,2692.791889,
Lebanon,2014,16970.43617,6261046
Lesotho,2014,2639.445825,2043448
Liberia,2014,1621.344665,4359508
Libya,2014,12201.20468,6362039
Liechtenstein,2014,,37219
Lithuania,2014,29855.83149,2971498
Low & middle income,2014,9085.397884,
Lower middle income,2014,5967.925283,
Luxembourg,2014,108414.7519,554512
Macao,2014,155201.3996,590210
Madagascar,2014,1540.744824,23589897
Malawi,2014,1432.055122,16289550
Malaysia,2014,23906.22858,29866606
Maldives,2014,17568.40991,435018
Mali,2014,2075.400681,16934213
Malta,2014,37230.27839,430190
Marshall Islands,2014,3545.207373,57183
Martinique,2014,,381142
Mauritania,2014,5008.688256,3930894
Mauritius,2014,19240.22471,1257351
Mayotte,2014,,233658
Mexico,2014,18887.56744,120355137
Micronesia (country),2014,3340.202883,107444
Middle East & North Africa,2014,15872.49406,
Middle East & North Africa (IDA & IBRD),2014,10220.62481,
Middle East & North Africa (excluding high income),2014,10171.09111,
Middle income,2014,9815.298406,
Moldova,2014,10314.40965,4073407
Monaco,2014,,37320
Mongolia,2014,10980.324,2940111
Montenegro,2014,17674.61841,626650
Montserrat,2014,,4952
Morocco,2014,6912.178002,34192358
Mozambique,2014,1217.088867,26286192
Myanmar,2014,4020.036677,52280816
Namibia,2014,10413.31422,2273426
Nauru,2014,13175.92165,10289
Nepal,2014,3217.44851,26905982
Netherlands,2014,52186.99739,16892517
Netherlands Antilles,2014,,317110
New Caledonia,2014,,267732
New Zealand,2014,40432.24148,4567522
Nicaragua,2014,5443.278082,6142734
Niger,2014,1127.614075,19240182
Nigeria,2014,5516.385598,176404931
Niue,2014,,1607
North America,2014,56250.78689,563874425
North Korea,2014,,25057793
North Macedonia,2014,14524.1947,2077780
Northern Mariana Islands,2014,,55301
Norway,2014,62390.1497,5142269
OECD members,2014,41143.89722,
Oceania,2014,,39278630
Oman,2014,30530.49931,4027255
Other small states,2014,22566.88097,
Pacific island small states,2014,6753.211611,
Pakistan,2014,4171.29183,195305012
Palau,2014,17091.22717,17625
Palestine,2014,5967.073437,4428634
Panama,2014,27352.51939,3901311
Papua New Guinea,2014,3909.33866,7946733
Paraguay,2014,11643.72751,6599524
Peru,2014,11877.07893,30090372
Philippines,2014,6973.638909,100513137
Poland,2014,26649.57728,38091095
Portugal,2014,30444.60021,10418224
Post-demographic dividend,2014,45171.23963,
Pre-demographic dividend,2014,3546.968486,
Puerto Rico,2014,34070.25359,3453667
Qatar,2014,95578.26151,2459202
Reunion,2014,,856960
Romania,2014,23084.37478,20035928
Russia,2014,26057.15531,144664837
Rwanda,2014,1780.144976,11083629
Saint Barthlemy,2014,,9620
Saint Helena,2014,,5737
Saint Kitts and Nevis,2014,25521.20016,50776
Saint Lucia,2014,14288.82231,178307
Saint Martin (French part),2014,,36018
Saint Pierre and Miquelon,2014,,6073
Saint Vincent and the Grenadines,2014,11845.21038,108868
Samoa,2014,5785.487988,192220
San Marino,2014,57328.07663,32941
Sao Tome and Principe,2014,3720.786785,195727
Saudi Arabia,2014,48209.13733,30916603
Senegal,2014,2868.315877,14174740
Serbia,2014,15226.32017,8898284
Seychelles,2014,24848.61022,94214
Sierra Leone,2014,1997.509291,7017153
Singapore,2014,87959.41675,5525628
Sint Maarten (Dutch part),2014,42946.68454,38872
Slovakia,2014,27384.97181,5428798
Slovenia,2014,33098.94416,2067487
Small states,2014,20369.98307,
Solomon Islands,2014,2551.401066,587079
Somalia,2014,873.493838,13423571
South Africa,2014,12884.4846,54544184
South America,2014,,408493800
South Asia,2014,4859.310249,
South Asia (IDA & IBRD),2014,4859.310249,
South Korea,2014,37967.47562,50607904
South Sudan,2014,,10554882
Spain,2014,35968.62014,46777927
Sri Lanka,2014,11428.1079,20788512
Sub-Saharan Africa,2014,3801.736252,
Sub-Saharan Africa (IDA & IBRD),2014,3801.736252,
Sub-Saharan Africa (excluding high income),2014,3799.760817,
Sudan,2014,4124.509614,37977657
Suriname,2014,20210.99618,553278
Svalbard and Jan Mayen,2014,,2400
Sweden,2014,49258.99616,9692137
Switzerland,2014,67682.68618,8206003
Syria,2014,,18710711
Taiwan,2014,,23491976
Tajikistan,2014,2884.200225,8252827
Tanzania,2014,2284.961757,49960563
Thailand,2014,15854.13186,68438748
Timor,2014,3264.56251,1174333
Togo,2014,1863.281894,7137997
Tokelau,2014,,1217
Tonga,2014,5861.464133,101023
Trinidad and Tobago,2014,28796.55907,1362337
Tunisia,2014,10498.84967,11063195
Turkey,2014,24881.72779,77229262
Turkmenistan,2014,12421.36977,5466324
Turks and Caicos Islands,2014,24392.02057,35371
Tuvalu,2014,3447.796226,10973
Uganda,2014,2022.29482,36911530
Ukraine,2014,12408.9516,45111530
United Arab Emirates,2014,62378.61005,9214182
United Kingdom,2014,44154.10561,65423048
United States,2014,57213.26784,318673422
United States Virgin Islands,2014,,105107
Upper middle income,2014,14676.80528,
Uruguay,2014,22419.04375,3400439
Uzbekistan,2014,5764.492705,30426394
Vanuatu,2014,2984.605124,263888
Vatican,2014,,785
Venezuela,2014,,30042973
Vietnam,2014,6098.539148,91713850
Wallis and Futuna,2014,,12338
Western Sahara,2014,,514984
World,2014,15177.2017,7295610265
Yemen,2014,,25823488
Zambia,2014,3450.0376,15399793
Zimbabwe,2014,3195.76797,13586710
Afghanistan,2013,2116.465258,32269592
Africa,2013,,1123045137
Africa Eastern and Southern,2013,3462.877898,
Africa Western and Central,2013,4076.151554,
Albania,2013,11361.29368,2903788
Algeria,2013,11319.09706,38140135
American Samoa,2013,,55717
Andorra,2013,,80770
Angola,2013,8140.525973,26015786
Anguilla,2013,,13952
Antigua and Barbuda,2013,17642.86087,91510
Arab World,2013,14097.45294,
Argentina,2013,24424.13645,42196034
Armenia,2013,10691.27675,2897593
Aruba,2013,35980.16459,103165
Asia,2013,,4344187451
Australia,2013,46814.74151,23254912
Austria,2013,52921.8171,8556191
Azerbaijan,2013,14652.70425,9385467
Bahamas,2013,35620.71356,367162
Bahrain,2013,46930.83073,1315029
Bangladesh,2013,3349.025008,152761413
Barbados,2013,15088.44135,284294
Belarus,2013,18760.16352,9423502
Belgium,2013,48203.65268,11154008
Belize,2013,7194.917905,345707
Benin,2013,2876.903909,10004594
Bermuda,2013,80503.65029,64381
Bhutan,2013,9163.563551,710235
Bolivia,2013,7444.490809,10542375
Bonaire Sint Eustatius and Saba,2013,,23512
Bosnia and Herzegovina,2013,11725.25086,3542598
Botswana,2013,16786.09646,2062551
Brazil,2013,15805.22291,201035904
British Virgin Islands,2013,,28850
Brunei,2013,66715.69265,404414
Bulgaria,2013,18296.14689,7290092
Burkina Faso,2013,1883.79654,17072791
Burundi,2013,877.2729649,9540302
Cambodia,2013,3191.861745,15026330
Cameroon,2013,3262.763299,22077300
Canada,2013,46704.76224,35296535
Cape Verde,2013,6323.376462,511740
Caribbean Small States,2013,16128.59796,
Cayman Islands,2013,65598.18119,59933
Central African Republic,2013,824.9432757,4447945
Central Europe and the Baltics,2013,25515.26197,
Chad,2013,1804.322522,13220433
Channel Islands,2013,,163039
Chile,2013,24006.81233,17571511
China,2013,11149.86756,1391883335
Colombia,2013,13390.4852,46495492
Comoros,2013,3005.510857,741511
Congo,2013,5335.610694,4622757
Cook Islands,2013,,17834
Costa Rica,2013,18233.01597,4742111
Cote d'Ivoire,2013,3922.540884,22087506
Croatia,2013,23766.97604,4276593
Cuba,2013,,11282722
Curacao,2013,27503.78944,156790
Cyprus,2013,33456.28909,1143866
Czechia,2013,33661.46842,10586529
Democratic Republic of Congo,2013,972.4559343,71358804
Denmark,2013,51479.26645,5638152
Djibouti,2013,4028.43237,883296
Dominica,2013,11708.145,71019
Dominican Republic,2013,13702.32121,10048226
Early-demographic dividend,2013,7955.089821,
East Asia & Pacific,2013,13754.87425,
East Asia & Pacific (IDA & IBRD),2013,10487.8922,
East Asia & Pacific (excluding high income),2013,10377.31034,
Ecuador,2013,11818.58683,15707473
Egypt,2013,10290.19162,88404652
El Salvador,2013,7892.436955,6266076
Equatorial Guinea,2013,33678.73784,1076412
Eritrea,2013,,3281453
Estonia,2013,29637.08738,1319068
Eswatini,2013,8179.485766,1086843
Ethiopia,2013,1545.177956,95385793
Euro area,2013,42629.97396,
Europe,2013,,741688141
Europe & Central Asia,2013,31835.93011,
Europe & Central Asia (IDA & IBRD),2013,20515.43374,
Europe & Central Asia (excluding high income),2013,19988.81594,
European Union,2013,39313.6541,
Faeroe Islands,2013,,47901
Falkland Islands,2013,,2793
Fiji,2013,11429.35522,865602
Finland,2013,45328.57532,5438984
France,2013,42816.27148,63893521
French Guiana,2013,,249049
French Polynesia,2013,,270332
Gabon,2013,15342.18131,1817070
Gambia,2013,2131.436027,1963708
Georgia,2013,11740.08912,4048701
Germany,2013,49880.57352,81174373
Ghana,2013,4645.81841,26607641
Gibraltar,2013,,33694
Greece,2013,27797.54473,10740501
Greenland,2013,,56412
Grenada,2013,13427.55196,108172
Guadeloupe,2013,,402826
Guam,2013,,160415
Guatemala,2013,7734.117707,15595821
Guinea,2013,2035.318627,10892821
Guinea-Bissau,2013,1770.476147,1648259
Guyana,2013,11117.52938,759281
Haiti,2013,2879.140268,10400672
Heavily indebted poor countries (HIPC),2013,2276.233326,
High income,2013,45716.59711,
Honduras,2013,5113.459151,8798524
Hong Kong,2013,55230.85943,7088780
Hungary,2013,25284.37005,9833923
IBRD only,2013,10935.72102,
IDA & IBRD total,2013,9086.532217,
IDA blend,2013,4519.422926,
IDA only,2013,2787.936592,
IDA total,2013,3374.875987,
Iceland,2013,50168.68853,327194
India,2013,4818.522557,1280842119
Indonesia,2013,9457.018541,251805314
Iran,2013,12625.08749,76481963
Iraq,2013,10349.37646,33157061
Ireland,2013,54026.75603,4615426
Isle of Man,2013,,83985
Israel,2013,36759.84145,7734834
Italy,2013,40268.11279,60166828
Jamaica,2013,9427.678977,2858710
Japan,2013,39056.86981,128314189
Jordan,2013,10414.92128,8518992
Kazakhstan,2013,23720.81607,17026118
Kenya,2013,3611.82026,45519986
Kiribati,2013,2034.127423,107887
Kosovo,2013,9076.326727,
Kuwait,2013,58995.3699,3526382
Kyrgyzstan,2013,4631.403267,5731312
Laos,2013,5841.881828,6541302
Late-demographic dividend,2013,13763.82504,
Latin America & Caribbean,2013,16244.36813,
Latin America & Caribbean (IDA & IBRD),2013,16189.08886,
Latin America & Caribbean (excluding high income),2013,15401.19035,
Latvia,2013,24881.90877,2044950
Least developed countries: UN classification,2013,2594.037325,
Lebanon,2013,17537.62275,5913016
Lesotho,2013,2614.14311,2028528
Liberia,2013,1652.187994,4248337
Libya,2013,16160.11024,6320350
Liechtenstein,2013,,36940
Lithuania,2013,28589.02666,3008938
Low & middle income,2013,8783.698004,
Lower middle income,2013,5740.299443,
Luxembourg,2013,106427.4563,542554
Macao,2013,161971.0349,577368
Madagascar,2013,1531.778467,22961259
Malawi,2013,1393.343534,15839287
Malaysia,2013,22855.94969,29468923
Maldives,2013,17133.76821,415592
Mali,2013,1995.159252,16449854
Malta,2013,35287.46508,426144
Marshall Islands,2013,3594.938776,56933
Martinique,2013,,384581
Mauritania,2013,4946.0348,3817497
Mauritius,2013,18579.37416,1255458
Mayotte,2013,,227376
Mexico,2013,18600.37118,118827158
Micronesia (country),2013,3468.166617,105922
Middle East & North Africa,2013,15713.98274,
Middle East & North Africa (IDA & IBRD),2013,10161.27058,
Middle East & North Africa (excluding high income),2013,10114.57888,
Middle income,2013,9479.697793,
Moldova,2013,9817.296297,4074585
Monaco,2013,,36899
Mongolia,2013,10383.78371,2881783
Montenegro,2013,17381.73999,626342
Montserrat,2013,,4932
Morocco,2013,6828.223017,33715705
Mozambique,2013,1165.408205,25560752
Myanmar,2013,3753.321364,51852464
Namibia,2013,9990.745831,2233506
Nauru,2013,10493.21242,10208
Nepal,2013,3033.780787,26916795
Netherlands,2013,51640.07669,16843512
Netherlands Antilles,2013,,315716
New Caledonia,2013,,264239
New Zealand,2013,39599.1883,4518519
Nicaragua,2013,5263.484839,6062462
Niger,2013,1099.432246,18504287
Nigeria,2013,5329.121517,171765819
Niue,2013,,1606
North America,2013,55268.98194,558712190
North Korea,2013,,24929500
North Macedonia,2013,14027.13097,2076065
Northern Mariana Islands,2013,,54786
Norway,2013,61878.99441,5079460
OECD members,2013,40522.05002,
Oceania,2013,,38695742
Oman,2013,32189.32529,3764805
Other small states,2013,22209.6044,
Pacific island small states,2013,6556.559439,
Pakistan,2013,4069.267498,191260799
Palau,2013,16099.32088,17603
Palestine,2013,6118.257181,4333521
Panama,2013,26480.60949,3835447
Papua New Guinea,2013,3513.023253,7788388
Paraguay,2013,11209.13154,6510273
Peru,2013,11724.0036,29773986
Philippines,2013,6666.250512,98871558
Poland,2013,25759.33915,38158043
Portugal,2013,30042.89072,10473025
Post-demographic dividend,2013,44536.1352,
Pre-demographic dividend,2013,3470.722076,
Puerto Rico,2013,33922.15842,3503865
Qatar,2013,95499.90761,2336579
Reunion,2013,,850506
Romania,2013,22197.03833,20132780
Russia,2013,26332.39665,144325456
Rwanda,2013,1718.935761,10811538
Saint Barthlemy,2013,,9548
Saint Helena,2013,,5583
Saint Kitts and Nevis,2013,24225.8336,50328
Saint Lucia,2013,14105.31642,177505
Saint Martin (French part),2013,,36458
Saint Pierre and Miquelon,2013,,6168
Saint Vincent and the Grenadines,2013,11729.41835,108624
Samoa,2013,5826.675959,190712
San Marino,2013,58419.91361,32554
Sao Tome and Principe,2013,3558.436593,192076
Saudi Arabia,2013,47848.37647,30052058
Senegal,2013,2777.111769,13782429
Serbia,2013,15399.78291,8918892
Seychelles,2013,24150.21072,93397
Sierra Leone,2013,1953.088364,6863975
Singapore,2013,85732.80394,5453732
Sint Maarten (Dutch part),2013,43523.53579,37580
Slovakia,2013,26706.09511,5421721
Slovenia,2013,32239.08456,2063120
Small states,2013,20079.62531,
Solomon Islands,2013,2594.461708,571329
Somalia,2013,876.8288837,13063711
South Africa,2013,12852.78216,53687125
South America,2013,,404561948
South Asia,2013,4602.915619,
South Asia (IDA & IBRD),2013,4602.915619,
South Korea,2013,37021.13416,50345720
South Sudan,2013,,10355030
Spain,2013,35371.73982,46930554
Sri Lanka,2013,10990.07059,20663053
Sub-Saharan Africa,2013,3715.465159,
Sub-Saharan Africa (IDA & IBRD),2013,3715.465159,
Sub-Saharan Africa (excluding high income),2013,3713.524709,
Sudan,2013,3947.200643,37072555
Suriname,2013,20379.87051,547295
Svalbard and Jan Mayen,2013,,2400
Sweden,2013,48462.16,9618016
Switzerland,2013,66877.16305,8108876
Syria,2013,,19578466
Taiwan,2013,,23421582
Tajikistan,2013,2767.836823,8059782
Tanzania,2013,2205.95146,48483132
Thailand,2013,15767.36081,68144519
Timor,2013,3182.525041,1153288
Togo,2013,1805.488919,6954721
Tokelau,2013,,1191
Tonga,2013,5703.419897,101768
Trinidad and Tobago,2013,29247.01035,1353708
Tunisia,2013,10308.3834,10952949
Turkey,2013,24117.65847,75925454
Turkmenistan,2013,11471.18408,5366376
Turks and Caicos Islands,2013,22849.57591,34733
Tuvalu,2013,3440.820546,10849
Uganda,2013,1989.647792,35694519
Ukraine,2013,12552.66976,45286988
United Arab Emirates,2013,59921.74783,9197908
United Kingdom,2013,43242.56767,64984015
United States,2013,56214.42868,316400539
United States Virgin Islands,2013,,105304
Upper middle income,2013,14170.30304,
Uruguay,2013,21786.21194,3389436
Uzbekistan,2013,5469.855953,29932630
Vanuatu,2013,2975.898004,256637
Vatican,2013,,786
Venezuela,2013,,29781046
Vietnam,2013,5815.175243,90752593
Wallis and Futuna,2013,,12353
Western Sahara,2013,,504858
World,2013,14843.53936,7210900157
Yemen,2013,,25147112
Zambia,2013,3399.702294,14926551
Zimbabwe,2013,3176.82933,13350378
Afghanistan,2012,2075.491614,31161378
Africa,2012,,1094343029
Africa Eastern and Southern,2012,3394.212337,
Africa Western and Central,2012,3953.022294,
Albania,2012,11227.99449,2914091
Algeria,2012,11233.53132,37383899
American Samoa,2012,,55669
Andorra,2012,,82427
Angola,2012,8036.692402,25107925
Anguilla,2012,,13794
Antigua and Barbuda,2012,17966.06436,90407
Arab World,2012,13967.67676,
Argentina,2012,24118.86752,41755188
Armenia,2012,10397.65466,2884239
Aruba,2012,34732.49585,102565
Asia,2012,,4299327145
Australia,2012,46427.3682,22903951
Austria,2012,53221.07866,8502230
Azerbaijan,2012,14023.98072,9264684
Bahamas,2012,36961.74854,363581
Bahrain,2012,45035.97855,1299942
Bangladesh,2012,3195.78104,151005733
Barbados,2012,15335.84805,283698
Belarus,2012,18576.72868,9417045
Belgium,2012,48209.99152,11085355
Belize,2012,7264.46478,338001
Benin,2012,2759.848256,9729254
Bermuda,2012,80982.36776,64736
Bhutan,2012,9084.004455,701582
Bolivia,2012,7081.386128,10377677
Bonaire Sint Eustatius and Saba,2012,,22840
Bosnia and Herzegovina,2012,11257.83507,3604972
Botswana,2012,15245.98099,2039551
Brazil,2012,15478.78929,199287292
British Virgin Islands,2012,,28654
Brunei,2012,69090.34149,398997
Bulgaria,2012,18134.96084,7334007
Burkina Faso,2012,1834.543308,16571252
Burundi,2012,862.715713,9245992
Cambodia,2012,3022.596725,14780454
Cameroon,2012,3180.772335,21485267
Canada,2012,46126.51389,34922031
Cape Verde,2012,6353.707704,505241
Caribbean Small States,2012,16067.90911,
Cayman Islands,2012,65835.08782,58963
Central African Republic,2012,1300.28881,4436411
Central Europe and the Baltics,2012,25112.30713,
Chad,2012,1765.194984,12784748
Channel Islands,2012,,162051
Chile,2012,23300.4423,17400359
China,2012,10397.56142,1384206408
Colombia,2012,12852.6257,46075721
Comoros,2012,2946.202224,723865
Congo,2012,5508.011333,4510197
Cook Islands,2012,,18009
Costa Rica,2012,17994.53623,4688003
Cote d'Ivoire,2012,3692.647643,21547188
Croatia,2012,23807.31559,4295869
Cuba,2012,,11257112
Curacao,2012,28040.03605,154812
Cyprus,2012,35719.3218,1135046
Czechia,2012,33688.09983,10581302
Democratic Republic of Congo,2012,926.7878162,69020749
Denmark,2012,51216.30941,5610909
Djibouti,2012,,868136
Dominica,2012,11837.236,70954
Dominican Republic,2012,13219.69413,9930916
Early-demographic dividend,2012,7709.450294,
East Asia & Pacific,2012,13121.60946,
East Asia & Pacific (IDA & IBRD),2012,9869.405012,
East Asia & Pacific (excluding high income),2012,9765.083053,
Ecuador,2012,11431.37562,15474099
Egypt,2012,10301.10781,86422240
El Salvador,2012,7754.687992,6237922
Equatorial Guinea,2012,36671.35744,1031191
Eritrea,2012,,3250104
Estonia,2012,29139.52702,1323163
Eswatini,2012,7930.468678,1079285
Ethiopia,2012,1437.376607,92726982
Euro area,2012,42892.32298,
Europe,2012,,740362612
Europe & Central Asia,2012,31601.22121,
Europe & Central Asia (IDA & IBRD),2012,19954.94198,
Europe & Central Asia (excluding high income),2012,19393.85657,
European Union,2012,39409.09415,
Faeroe Islands,2012,,47843
Falkland Islands,2012,,2823
Fiji,2012,10919.49717,865065
Finland,2012,45952.24638,5414769
France,2012,42790.63288,63564224
French Guiana,2012,,243667
French Polynesia,2012,,268995
Gabon,2012,15082.65656,1749677
Gambia,2012,2135.744238,1905020
Georgia,2012,11295.75409,4064097
Germany,2012,49798.96767,80972629
Ghana,2012,4431.023735,25996454
Gibraltar,2012,,33653
Greece,2012,28374.67695,10781119
Greenland,2012,,56477
Grenada,2012,13206.97424,107452
Guadeloupe,2012,,404446
Guam,2012,,159990
Guatemala,2012,7590.755467,15270774
Guinea,2012,2002.321687,10652032
Guinea-Bissau,2012,1760.883995,1604981
Guyana,2012,10780.96439,755388
Haiti,2012,2833.777734,10250922
Heavily indebted poor countries (HIPC),2012,2206.972082,
High income,2012,45310.145,
Honduras,2012,5065.456999,8640692
Hong Kong,2012,53785.15301,7046847
Hungary,2012,24754.22591,9864363
IBRD only,2012,10513.20726,
IDA & IBRD total,2012,8755.342698,
IDA blend,2012,4382.154731,
IDA only,2012,2679.904694,
IDA total,2012,3257.079351,
Iceland,2012,48440.25508,325642
India,2012,4583.173199,1265780243
Indonesia,2012,9080.066113,248451714
Iran,2012,12807.39475,75539881
Iraq,2012,9997.880826,31890012
Ireland,2012,53653.73477,4608199
Isle of Man,2012,,84534
Israel,2012,35942.71484,7614946
Italy,2012,41501.71123,59879469
Jamaica,2012,9433.845758,2842128
Japan,2012,38235.74504,128423571
Jordan,2012,10688.28934,8089963
Kazakhstan,2012,22702.57884,16751523
Kenya,2012,3501.789724,44343469
Kiribati,2012,1979.902188,106359
Kosovo,2012,8827.823336,
Kuwait,2012,61416.97843,3348852
Kyrgyzstan,2012,4259.318204,5621583
Laos,2012,5489.040283,6444527
Late-demographic dividend,2012,13149.26231,
Latin America & Caribbean,2012,15948.71072,
Latin America & Caribbean (IDA & IBRD),2012,15890.06841,
